surface	label	target_curie	target_label	predicate	source	confidence	notes
env_factor	Temperature	PATO:0000146	temperature	skos:exactMatch	PATO	high	condition quality
env_factor	pH	PATO:0001842	acidity	skos:closeMatch	PATO	high	pH is the operational measure of acidity
env_factor	Extreme Acidity	PATO:0001842	acidity	skos:broadMatch	PATO	high	acidophile habitats (AMD etc.)
env_factor	Light	PATO:0015013	degree of illumination	skos:closeMatch	PATO	high	phototroph light regime
env_factor	Oxygen Availability	CHEBI:15379	dioxygen	skos:relatedMatch	CHEBI	high	factor referent is O2; availability is a PATO quality of it (needs schema slot)
env_factor	Oxygen gradient	CHEBI:15379	dioxygen	skos:relatedMatch	CHEBI	medium	spatial O2 gradient
env_factor	Anaerobic conditions	CHEBI:15379	dioxygen	skos:relatedMatch	CHEBI	medium	absence of O2; no clean ENVO/PATO "anoxic condition" quality (proposal candidate)
env_factor	Hydrogen Partial Pressure	CHEBI:18276	dihydrogen	skos:relatedMatch	CHEBI	high	factor referent is H2 partial pressure
env_factor	Sulfate Concentration	CHEBI:16189	sulfate	skos:relatedMatch	CHEBI	high	factor referent is sulfate
env_factor	Iron Concentration	CHEBI:24875	iron cation	skos:relatedMatch	CHEBI	medium	verify exact iron species per record
env_factor	defined synthetic community design	-	-	-	-	-	skipped: non-ontological (design descriptor, not an environmental factor)
env_factor	Source environment	-	-	-	-	-	skipped: non-ontological (provenance note)
env_factor	Agricultural application	-	-	-	-	-	skipped: non-ontological (use-case note)
