# mapping: NCBI2GTDB.tsv.gz	bytes=2895086	sha256=761d5537a7ed
# taxa=583	varying=18
ncbi_id	label	aggregate_id	aggregate_frac	aggregate_named_id	aggregate_named_frac	deepest_id	deepest_frac	deepest_named_id	deepest_named_frac	varies	distinct_answers
NCBITaxon:100176	Papillibacter cinnamivorans	GTDB:s__Papillibacter_cinnamivorans	1.0	GTDB:s__Papillibacter_cinnamivorans	1.0	GTDB:s__Papillibacter_cinnamivorans	1.0	GTDB:s__Papillibacter_cinnamivorans	1.0		1
NCBITaxon:100226	Streptomyces coelicolor A3(2)	GTDB:s__Streptomyces_anthocyanicus	1.0	GTDB:s__Streptomyces_anthocyanicus	1.0	GTDB:s__Streptomyces_anthocyanicus	1.0	GTDB:s__Streptomyces_anthocyanicus	1.0		1
NCBITaxon:101510	Rhodococcus jostii RHA1	GTDB:s__Rhodococcus_jostii_A	1.0	GTDB:s__Rhodococcus_jostii_A	1.0	GTDB:s__Rhodococcus_jostii_A	1.0	GTDB:s__Rhodococcus_jostii_A	1.0		1
NCBITaxon:1021	Beggiatoa	GTDB:g__Beggiatoa	0.75	GTDB:g__Beggiatoa	1.0	GTDB:g__Beggiatoa	0.727	GTDB:g__Beggiatoa	1.0		1
NCBITaxon:10239	Viruses	NONE		NONE		NONE		NONE			1
NCBITaxon:1031	Thiothrix nivea	GTDB:s__Thiothrix_nivea	1.0	GTDB:s__Thiothrix_nivea	1.0	GTDB:s__Thiothrix_nivea	1.0	GTDB:s__Thiothrix_nivea	1.0		1
NCBITaxon:1033	Afipia	GTDB:g__Afipia	0.957	GTDB:g__Afipia	1.0	GTDB:g__Afipia	0.955	GTDB:g__Afipia	1.0		1
NCBITaxon:1033997	Nitrososphaeraceae	GTDB:f__Nitrososphaeraceae	1.0	GTDB:f__Nitrososphaeraceae	1.0	GTDB:f__Nitrososphaeraceae	1.0	GTDB:f__Nitrososphaeraceae	1.0		1
NCBITaxon:105841	Anaerostipes caccae	GTDB:s__Anaerostipes_caccae	1.0	GTDB:s__Anaerostipes_caccae	1.0	GTDB:s__Anaerostipes_caccae	1.0	GTDB:s__Anaerostipes_caccae	1.0		1
NCBITaxon:105972	Methylosarcina fibrata	GTDB:s__Methylosarcina_fibrata	1.0	GTDB:s__Methylosarcina_fibrata	1.0	GTDB:s__Methylosarcina_fibrata	1.0	GTDB:s__Methylosarcina_fibrata	1.0		1
NCBITaxon:1061	Rhodobacter capsulatus	GTDB:s__Rhodobacter_capsulatus_B	1.0	GTDB:s__Rhodobacter_capsulatus_B	1.0	GTDB:s__Rhodobacter_capsulatus_B	1.0	GTDB:s__Rhodobacter_capsulatus_B	1.0		1
NCBITaxon:1064	Rhodocyclus	GTDB:g__Rhodocyclus	1.0	GTDB:g__Rhodocyclus	1.0	GTDB:g__Rhodocyclus	1.0	GTDB:g__Rhodocyclus	1.0		1
NCBITaxon:106591	Ensifer	GTDB:g__Ensifer	0.745	AMBIGUOUS		GTDB:g__Ensifer	0.745	AMBIGUOUS		VARIES	2
NCBITaxon:106592	Ensifer adhaerens	GTDB:s__Ensifer_canadensis	1.0	GTDB:s__Ensifer_canadensis	1.0	GTDB:s__Ensifer_canadensis	1.0	GTDB:s__Ensifer_canadensis	1.0		1
NCBITaxon:1072583	Vreelandella boliviensis LC1	GTDB:s__Vreelandella_boliviensis	1.0	GTDB:s__Vreelandella_boliviensis	1.0	GTDB:s__Vreelandella_boliviensis	1.0	GTDB:s__Vreelandella_boliviensis	1.0		1
NCBITaxon:1076	Rhodopseudomonas palustris	AMBIGUOUS		AMBIGUOUS		AMBIGUOUS		AMBIGUOUS			1
NCBITaxon:1078905	Nitrosotalea devaniterrae	GTDB:s__Nitrosotalea_devanaterra	1.0	GTDB:s__Nitrosotalea_devanaterra	1.0	GTDB:s__Nitrosotalea_devanaterra	1.0	GTDB:s__Nitrosotalea_devanaterra	1.0		1
NCBITaxon:1089553	Thermacetogenium phaeum DSM 12270	GTDB:s__Thermacetogenium_phaeum	1.0	GTDB:s__Thermacetogenium_phaeum	1.0	GTDB:s__Thermacetogenium_phaeum	1.0	GTDB:s__Thermacetogenium_phaeum	1.0		1
NCBITaxon:1090	Chlorobiota	GTDB:p__Bacteroidota	0.989	GTDB:p__Bacteroidota	1.0	GTDB:p__Bacteroidota	0.989	GTDB:p__Bacteroidota	1.0		1
NCBITaxon:1091494	Methylotuvimicrobium alcaliphilum 20Z	GTDB:s__Methylotuvimicrobium_alcaliphilum	1.0	GTDB:s__Methylotuvimicrobium_alcaliphilum	1.0	GTDB:s__Methylotuvimicrobium_alcaliphilum	1.0	GTDB:s__Methylotuvimicrobium_alcaliphilum	1.0		1
NCBITaxon:110321	Sinorhizobium medicae	GTDB:s__Sinorhizobium_medicae	1.0	GTDB:s__Sinorhizobium_medicae	1.0	GTDB:s__Sinorhizobium_medicae	1.0	GTDB:s__Sinorhizobium_medicae	1.0		1
NCBITaxon:110500	Pelotomaculum thermopropionicum	GTDB:s__Pelotomaculum_thermopropionicum	1.0	GTDB:s__Pelotomaculum_thermopropionicum	1.0	GTDB:s__Pelotomaculum_thermopropionicum	1.0	GTDB:s__Pelotomaculum_thermopropionicum	1.0		1
NCBITaxon:1107	Chloroflexus	GTDB:g__Chloroflexus	1.0	GTDB:g__Chloroflexus	1.0	GTDB:g__Chloroflexus	1.0	GTDB:g__Chloroflexus	1.0		1
NCBITaxon:110932	Leifsonia	GTDB:g__Leifsonia	0.75	GTDB:g__Leifsonia	0.958	GTDB:g__Leifsonia	0.75	GTDB:g__Leifsonia	0.958		1
NCBITaxon:1117	Cyanobacteriota	GTDB:p__Cyanobacteriota	0.998	GTDB:p__Cyanobacteriota	1.0	GTDB:p__Cyanobacteriota	0.998	GTDB:p__Cyanobacteriota	1.0		1
NCBITaxon:1122947	Pelosinus fermentans DSM 17108	GTDB:s__Pelosinus_fermentans	1.0	GTDB:s__Pelosinus_fermentans	1.0	GTDB:s__Pelosinus_fermentans	1.0	GTDB:s__Pelosinus_fermentans	1.0		1
NCBITaxon:1125	Microcystis <cyanobacteria>	GTDB:g__Microcystis	0.991	GTDB:g__Microcystis	0.986	GTDB:g__Microcystis	0.991	GTDB:g__Microcystis	0.986		1
NCBITaxon:1125364	Coccomyxa onubensis	NONE		NONE		NONE		NONE			1
NCBITaxon:1129	Synechococcus	AMBIGUOUS		AMBIGUOUS		AMBIGUOUS		AMBIGUOUS			1
NCBITaxon:1130819	Lysinibacillus mangiferihumi	GTDB:s__Lysinibacillus_mangiferihumi	1.0	GTDB:s__Lysinibacillus_mangiferihumi	1.0	GTDB:s__Lysinibacillus_mangiferihumi	1.0	GTDB:s__Lysinibacillus_mangiferihumi	1.0		1
NCBITaxon:1131703	Sphaerochaeta globosa	GTDB:s__Sphaerochaeta_globosa	1.0	GTDB:s__Sphaerochaeta_globosa	1.0	GTDB:s__Sphaerochaeta_globosa	1.0	GTDB:s__Sphaerochaeta_globosa	1.0		1
NCBITaxon:1134404	Ignavibacteriota	GTDB:p__Bacteroidota	0.987	GTDB:p__Bacteroidota	1.0	GTDB:p__Bacteroidota	0.987	GTDB:p__Bacteroidota	1.0		1
NCBITaxon:1140	Synechococcus elongatus PCC 7942 = FACHB-805	GTDB:s__Synechococcus_elongatus	1.0	GTDB:s__Synechococcus_elongatus	1.0	GTDB:s__Synechococcus_elongatus	1.0	GTDB:s__Synechococcus_elongatus	1.0		1
NCBITaxon:1163	Anabaena	AMBIGUOUS		AMBIGUOUS		AMBIGUOUS		AMBIGUOUS			1
NCBITaxon:1165	Anabaena cylindrica	AMBIGUOUS		AMBIGUOUS		AMBIGUOUS		AMBIGUOUS			1
NCBITaxon:117187	Fusarium verticillioides	NONE		NONE		NONE		NONE			1
NCBITaxon:1175444	Methanocella conradii	GTDB:s__Methanocella_conradii	1.0	GTDB:s__Methanocella_conradii	1.0	GTDB:s__Methanocella_conradii	1.0	GTDB:s__Methanocella_conradii	1.0		1
