surface	label	count	example_community
interaction_name	Sulcia Essential Amino Acid Provisioning	3	BioModels_MODEL1806250003_Spittlebug_Sulcia_Sodalis
interaction_name	Interspecies Hydrogen Transfer and Methanogenesis	3	Desulfovibrio_Methanococcus_Syntrophy
interaction_name	CO2 Fixation and Sucrose Production	3	Synechococcus_Bacillus_SPC
interaction_name	Stratified Iron Redox Cycling	2	Australian_Lead_Zinc_Polymetallic
interaction_name	Ethanol-Driven Chain Elongation	2	Clostridium_Autoethanogenum_Kluyveri_Syngas_Coculture
interaction_name	Cross-Feeding with Rhizobium	2	EcoFAB_Ring_Trial_SynCom17
interaction_name	Ethanol Oxidation and Direct Electron Transfer	2	Geobacter_Methanosaeta_DIET
interaction_name	Direct Electron Acceptance and Methanogenesis	2	Geobacter_Methanosaeta_DIET
interaction_name	Plant Growth Promotion	2	Lotus_LjSC3
interaction_name	Synergistic Lignocellulose Degradation	2	MAMC_M48_Lignocellulose
interaction_name	Complementary Iron and Sulfur Oxidation	2	PGM_Spent_Catalyst_Bioleaching
interaction_name	Ferrous Iron Oxidation by Leptospirillum	2	Richmond_Mine_AMD_Biofilm
interaction_name	Sucrose Uptake and Heterotrophic Growth	2	Synechococcus_Bacillus_SPC
interaction_name	Propionate Oxidation and H2/Formate Production	2	Syntrophobacter_Methanobacterium_Syntrophy
interaction_name	Interspecies Electron Transfer and Methanogenesis	2	Syntrophobacter_Methanobacterium_Syntrophy
downstream_target	REE Dissolution from Bastnaesite and Monazite	3	Bayan_Obo_REE_Tailings_Consortium
downstream_target	Interspecies Hydrogen Transfer and Methanogenesis	3	Desulfovibrio_Methanococcus_Syntrophy
downstream_target	Copper Sulfide Dissolution	2	Copper_Biomining_Heap_Leach
downstream_target	Direct Electron Acceptance and Methanogenesis	2	Geobacter_Methanosaeta_DIET
downstream_target	Chalcopyrite Dissolution by Ferric Iron	2	Industrial_Bioreactor_Consortium
downstream_target	Teichoic Acid-Mediated HREE Selective Biosorption	2	Ion_Adsorption_REE_Indigenous_Community
downstream_target	Vanadium Immobilization via V(IV) Precipitation	2	Panzhihua_Vanadium_Titanium_Tailings
downstream_target	Iron Oxidation and Ferric Iron Generation	2	Rammelsberg_Cobalt_Nickel_Tailings
downstream_target	Pyrite Dissolution	2	Richmond_Mine_AMD_Biofilm
downstream_target	Ferrous Iron Oxidation by Leptospirillum	2	Richmond_Mine_AMD_Biofilm
downstream_target	Enhanced Root Colonization and Nodulation	2	Soybean_N_Fixation_sfSynCom
downstream_target	Sucrose Uptake and Heterotrophic Growth	2	Synechococcus_Bacillus_SPC
downstream_target	Interspecies Electron Transfer and Methanogenesis	2	Syntrophobacter_Methanobacterium_Syntrophy
env_factor	defined synthetic community design	35	Aerobic_Denitrification_Disturbance_SynCom
env_factor	Temperature	22	AMD_Acidophile_Heterotroph_Network
env_factor	pH	14	Bayan_Obo_REE_Tailings_Consortium
env_factor	Anaerobic conditions	12	Chlamydomonas_Bacterial_H2_Consortium
env_factor	Oxygen Availability	7	AMD_Acidophile_Heterotroph_Network
env_factor	Light	5	Chlamydomonas_Bacterial_H2_Consortium
env_factor	Substrate	5	Cinnamate_Degradation_Consortium
env_factor	Hydrogen Partial Pressure	5	DVM_Triculture
env_factor	Cellulose substrate	4	Caldibacillus_Clostridium_Aerotolerant_Cellulose_Coculture
env_factor	Metal Concentrations	3	AMD_Acidophile_Heterotroph_Network
env_factor	Source environment	3	Angelarchaeales_Thermoplasmata_CuMMO_Soil_Sediment_Community
env_factor	germ-free mouse host	3	Bacteroides_Eubacterium_Gnotobiotic_Gut_Model
env_factor	Extreme Acidity	3	Ewaste_Bioleaching_Consortium
env_factor	Sulfate Concentration	3	Iberian_Pit_Lake_Stratified_Community
env_factor	Oxygen gradient	3	Lac_Pavin_Stratified_Lake_Community
env_factor	Target pathogen	3	Maize_Root_Simplified_Community
env_factor	Agricultural application	3	Maize_Root_Simplified_Community
env_factor	Gas substrate	2	Acetobacterium_Clostridium_CO2_Electrolysis_Coculture
env_factor	Application	2	At_RSPHERE_SynCom
env_factor	Iron Concentration	2	Australian_Lead_Zinc_Polymetallic
env_factor	Oxygen Stratification	2	Australian_Lead_Zinc_Polymetallic
env_factor	Redox Potential	2	Chromium_Sulfur_Reduction_Enrichment
env_factor	Growth Conditions	2	Dangl_SynComm_35
env_factor	light-dark cycle	2	Emiliania_Phaeobacter_Dynamic_Interaction
env_factor	Pili Expression	2	Geobacter_Methanosaeta_DIET
env_factor	Birth status	2	Infant_Gut_DNA_Phage_Succession_Community
env_factor	Total Vanadium Concentration	2	Panzhihua_Vanadium_Titanium_Tailings
env_factor	Methane emissions	2	Prairie_Pothole_Wetland_Sulfur_Carbon_Virus_Community
env_factor	Illumination	2	Synechococcus_Azotobacter_Photoproduction_Mutualism
env_factor	Hydrogen and Formate Partial Pressure	2	Syntrophobacter_Methanobacterium_Syntrophy
env_factor	Ecological Relevance	2	Syntrophobacter_Methanobacterium_Syntrophy
env_factor	Anaerobic methanogenic condition	2	Thermacetogenium_Methanothermobacter_Acetate_Oxidation_Coculture
